,month,area_name_en,yhat,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
71,01-02-2026,Burj Khalifa,21038.35254,19417.44446,22659.26061,1.020778896,0.942132588,1.099425204
72,01-09-2025,Business Bay,27049.55812,26273.82177,27825.29447,1.009610909,0.980656947,1.038564871
73,01-10-2025,Business Bay,27123.06523,25859.67905,28386.4514,1.012354524,0.965199282,1.059509766
74,01-11-2025,Business Bay,27144.04922,25494.62625,28793.47218,1.013137741,0.951573873,1.074701609
75,01-12-2025,Business Bay,27150.03949,25179.34263,29120.73636,1.013361325,0.939806073,1.086916576
76,01-01-2026,Business Bay,27151.74953,24902.78658,29400.71247,1.013425151,0.929483761,1.097366542
77,01-02-2026,Business Bay,27152.23769,24655.19707,29649.27831,1.013443371,0.920242609,1.106644134
78,01-09-2025,Hadaeq Sheikh Mohammed Bin Rashid,26375.53003,26205.7137,26545.34635,1.007856691,1.001367703,1.01434568
79,01-10-2025,Hadaeq Sheikh Mohammed Bin Rashid,26573.65583,26175.47226,26971.8394,1.015427437,1.000212123,1.030642751
80,01-11-2025,Hadaeq Sheikh Mohammed Bin Rashid,26770.49592,26211.13221,27329.85963,1.022949052,1.001574754,1.044323351
81,01-12-2025,Hadaeq Sheikh Mohammed Bin Rashid,26967.11511,26280.33162,27653.89861,1.030462227,1.004218988,1.056705466
82,01-01-2026,Hadaeq Sheikh Mohammed Bin Rashid,27163.69635,26369.19925,27958.19346,1.037973952,1.007614781,1.068333123
83,01-02-2026,Hadaeq Sheikh Mohammed Bin Rashid,27360.27107,26470.93859,28249.60355,1.045485427,1.011502425,1.079468429
84,01-09-2025,Jabal Ali First,14755.54393,14553.26546,14957.82239,1.014072387,1.000170832,1.027973942
85,01-10-2025,Jabal Ali First,14960.30813,14507.99973,15412.61653,1.028144774,0.997059952,1.059229597
86,01-11-2025,Jabal Ali First,15165.07234,14408.21563,15921.92905,1.042217162,0.990202306,1.094232018
87,01-12-2025,Jabal Ali First,15369.83654,14261.91176,16477.76133,1.056289549,0.980147596,1.132431502
88,01-01-2026,Jabal Ali First,15574.60075,14074.4635,17074.738,1.070361936,0.967265245,1.173458628
89,01-02-2026,Jabal Ali First,15779.36496,13849.75138,17708.97853,1.084434323,0.95182194,1.217046706
90,01-09-2025,Madinat Al Mataar,15476.46538,14805.97179,16146.95898,0.970416106,0.92837435,1.012457862
91,01-10-2025,Madinat Al Mataar,15288.57728,13664.64615,16912.50841,0.958635015,0.856810155,1.060459876
92,01-11-2025,Madinat Al Mataar,15321.8694,12679.23015,17964.50865,0.960722521,0.795021915,1.126423126
93,01-12-2025,Madinat Al Mataar,15465.50345,11915.83575,19015.17115,0.969728763,0.747155028,1.192302498
94,01-01-2026,Madinat Al Mataar,15620.37671,11346.59163,19894.16179,0.979439734,0.711461887,1.247417581
95,01-02-2026,Madinat Al Mataar,15728.02838,10904.92841,20551.12836,0.986189784,0.683768412,1.288611156
96,01-09-2025,Madinat Dubai Almelaheyah,32142.07473,31747.74433,32536.40513,1.023113066,1.010561151,1.035664981
97,01-10-2025,Madinat Dubai Almelaheyah,32581.37058,31801.51894,33361.22222,1.037096274,1.012272848,1.0619197
98,01-11-2025,Madinat Dubai Almelaheyah,32836.42856,31715.72469,33957.13243,1.045215014,1.009541935,1.080888093
99,01-12-2025,Madinat Dubai Almelaheyah,33060.06754,31705.05729,34415.0778,1.052333657,1.009202381,1.095464933
100,01-01-2026,Madinat Dubai Almelaheyah,33357.80096,31856.98764,34858.61428,1.061810798,1.01403847,1.109583125
101,01-02-2026,Madinat Dubai Almelaheyah,33755.4649,32160.53806,35350.39173,1.074468822,1.023700771,1.125236873
102,01-09-2025,Marsa Dubai,18218.57807,17621.69795,18815.45819,0.989388654,0.956974136,1.021803172
103,01-10-2025,Marsa Dubai,18123.26232,17053.27,19193.25465,0.984212382,0.926104759,1.042320005
104,01-11-2025,Marsa Dubai,18076.76678,16591.52907,19562.00449,0.981687368,0.901029189,1.062345547
105,01-12-2025,Marsa Dubai,18054.08601,16206.24627,19901.92574,0.980455653,0.880105797,1.080805508
106,01-01-2026,Marsa Dubai,18043.0222,15875.40979,20210.63461,0.979854815,0.8621392,1.09757043
107,01-02-2026,Marsa Dubai,18037.62521,15584.01361,20491.23682,0.979561723,0.84631447,1.112808976
108,01-09-2025,Me'Aisem First,14512.74348,14227.03639,14798.45057,1.009360897,0.989489977,1.029231816
109,01-10-2025,Me'Aisem First,14721.19476,14041.21191,15401.17762,1.023858678,0.976565889,1.071151466
